,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
58,0.000521,https://api.spotify.com/v1/audio-analysis/1ILtQzEsKALgFVVlbeqCGS,0.667,239073,0.523,1ILtQzEsKALgFVVlbeqCGS,0.0,1,0.0984,-5.817,1,0.0311,1,136.544,4,https://api.spotify.com/v1/tracks/1ILtQzEsKALgFVVlbeqCGS,audio_features,spotify:track:1ILtQzEsKALgFVVlbeqCGS,0.18
59,0.00275,https://api.spotify.com/v1/audio-analysis/1PnizMfOtL59AVnX8fZqmq,0.777,221467,0.834,1PnizMfOtL59AVnX8fZqmq,1.31e-06,4,0.361,-5.129,0,0.0843,1,97.527,4,https://api.spotify.com/v1/tracks/1PnizMfOtL59AVnX8fZqmq,audio_features,spotify:track:1PnizMfOtL59AVnX8fZqmq,0.66
60,0.0778,https://api.spotify.com/v1/audio-analysis/3jagJCUbdqhDSPuxP8cAqF,0.884,263227,0.677,3jagJCUbdqhDSPuxP8cAqF,0.0,1,0.0732,-5.603,1,0.283,1,101.868,4,https://api.spotify.com/v1/tracks/3jagJCUbdqhDSPuxP8cAqF,audio_features,spotify:track:3jagJCUbdqhDSPuxP8cAqF,0.584
61,0.0744,https://api.spotify.com/v1/audio-analysis/4MeDnO5yA2Zi6IMlVApRci,0.756,235187,0.691,4MeDnO5yA2Zi6IMlVApRci,0.0,2,0.364,-3.718,1,0.178,1,104.999,4,https://api.spotify.com/v1/tracks/4MeDnO5yA2Zi6IMlVApRci,audio_features,spotify:track:4MeDnO5yA2Zi6IMlVApRci,0.632
62,0.133,https://api.spotify.com/v1/audio-analysis/2a03afRiyAbNAleOByVju4,0.825,208500,0.909,2a03afRiyAbNAleOByVju4,0.0,5,0.0508,-4.009,0,0.267,1,128.003,4,https://api.spotify.com/v1/tracks/2a03afRiyAbNAleOByVju4,audio_features,spotify:track:2a03afRiyAbNAleOByVju4,0.625
63,0.0219,https://api.spotify.com/v1/audio-analysis/2mKouqwAIdQnMP43zxR89r,0.835,267093,0.707,2mKouqwAIdQnMP43zxR89r,2.19e-05,8,0.108,-5.074,1,0.0598,1,93.955,4,https://api.spotify.com/v1/tracks/2mKouqwAIdQnMP43zxR89r,audio_features,spotify:track:2mKouqwAIdQnMP43zxR89r,0.919
64,0.228,https://api.spotify.com/v1/audio-analysis/3hpUL1gDZWiz8k4DtYhZsS,0.966,228333,0.767,3hpUL1gDZWiz8k4DtYhZsS,0.0,2,0.0573,-4.458,1,0.129,1,107.063,4,https://api.spotify.com/v1/tracks/3hpUL1gDZWiz8k4DtYhZsS,audio_features,spotify:track:3hpUL1gDZWiz8k4DtYhZsS,0.911
65,0.397,https://api.spotify.com/v1/audio-analysis/7lVNTXkI3cHFvcXiI8damb,0.66,268800,0.707,7lVNTXkI3cHFvcXiI8damb,0.0,6,0.211,-5.758,1,0.208,1,89.279,4,https://api.spotify.com/v1/tracks/7lVNTXkI3cHFvcXiI8damb,audio_features,spotify:track:7lVNTXkI3cHFvcXiI8damb,0.761
66,0.262,https://api.spotify.com/v1/audio-analysis/3fsghmcEnT7K9f30ohHDRn,0.901,193467,0.72,3fsghmcEnT7K9f30ohHDRn,0.0,11,0.0766,-2.826,0,0.36,1,90.059,4,https://api.spotify.com/v1/tracks/3fsghmcEnT7K9f30ohHDRn,audio_features,spotify:track:3fsghmcEnT7K9f30ohHDRn,0.795
67,0.0301,https://api.spotify.com/v1/audio-analysis/0r2Bul2NuCViraT2zX1l5j,0.521,334067,0.625,0r2Bul2NuCViraT2zX1l5j,0.0,1,0.121,-7.47,1,0.067,1,101.019,4,https://api.spotify.com/v1/tracks/0r2Bul2NuCViraT2zX1l5j,audio_features,spotify:track:0r2Bul2NuCViraT2zX1l5j,0.136
68,0.0825,https://api.spotify.com/v1/audio-analysis/4WY3HyGXsWqjFRCVD6gnTe,0.655,244827,0.488,4WY3HyGXsWqjFRCVD6gnTe,1.16e-06,1,0.221,-9.17,1,0.22,1,91.025,4,https://api.spotify.com/v1/tracks/4WY3HyGXsWqjFRCVD6gnTe,audio_features,spotify:track:4WY3HyGXsWqjFRCVD6gnTe,0.791
69,0.202,https://api.spotify.com/v1/audio-analysis/1AWQoqb9bSvzTjaLralEkT,0.891,267267,0.714,1AWQoqb9bSvzTjaLralEkT,0.000234,4,0.0521,-6.055,0,0.14,1,100.972,4,https://api.spotify.com/v1/tracks/1AWQoqb9bSvzTjaLralEkT,audio_features,spotify:track:1AWQoqb9bSvzTjaLralEkT,0.818
70,0.211,https://api.spotify.com/v1/audio-analysis/0ARK753YaiJbpLUk7z5yIM,0.725,289173,0.534,0ARK753YaiJbpLUk7z5yIM,2.91e-05,2,0.221,-8.364,0,0.167,1,168.119,4,https://api.spotify.com/v1/tracks/0ARK753YaiJbpLUk7z5yIM,audio_features,spotify:track:0ARK753YaiJbpLUk7z5yIM,0.621
71,0.205,https://api.spotify.com/v1/audio-analysis/4hrae8atte6cRlSC9a7VCO,0.607,245063,0.714,4hrae8atte6cRlSC9a7VCO,0.0,5,0.301,-6.007,0,0.278,1,96.619,4,https://api.spotify.com/v1/tracks/4hrae8atte6cRlSC9a7VCO,audio_features,spotify:track:4hrae8atte6cRlSC9a7VCO,0.827
72,0.0218,https://api.spotify.com/v1/audio-analysis/6BUZX2MNhJs0p13ezYtOLp,0.741,225533,0.759,6BUZX2MNhJs0p13ezYtOLp,0.0,0,0.628,-5.096,0,0.12,1,97.084,4,https://api.spotify.com/v1/tracks/6BUZX2MNhJs0p13ezYtOLp,audio_features,spotify:track:6BUZX2MNhJs0p13ezYtOLp,0.362
